scenario,type,window,range,outside_support_share,transactions_affected,predictor,target,predicted,truth
SBI UPI -5pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.0,611,rule_baseline,gmv_at_risk,69518.87103214487,27418.069999999367
SBI UPI -5pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.0,611,rule_baseline,p95_latency_delta_ms,0.0,21.0
SBI UPI -5pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.0,611,independent_ml,success_rate_delta_pp,-0.0013331354908663329,-0.09298746272484726
SBI UPI -5pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.0,611,independent_ml,timeout_rate_delta_pp,0.0007756921271796086,0.06092282040593838
SBI UPI -5pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.0,611,independent_ml,failures_delta,0.4157649655364821,28.99999999999818
SBI UPI -5pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.0,611,independent_ml,gmv_at_risk,750.8320588525385,27418.069999999367
SBI UPI -5pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.0,611,independent_ml,p95_latency_delta_ms,0.16293211315041845,21.0
SBI UPI -10pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.0,611,rule_baseline,success_rate_delta_pp,-0.19489652872742846,-0.18918138968159193
SBI UPI -10pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.0,611,rule_baseline,timeout_rate_delta_pp,0.1101495913532688,0.12825856927565962
SBI UPI -10pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.0,611,rule_baseline,failures_delta,60.7823804142231,58.99999999999818
SBI UPI -10pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.0,611,rule_baseline,gmv_at_risk,139667.89385282062,87217.74999999907
SBI UPI -10pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.0,611,rule_baseline,p95_latency_delta_ms,0.0,36.0
SBI UPI -10pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.0,611,independent_ml,success_rate_delta_pp,-0.00344440455188888,-0.18918138968159193
SBI UPI -10pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.0,611,independent_ml,timeout_rate_delta_pp,0.0026685364312651477,0.12825856927565962
SBI UPI -10pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.0,611,independent_ml,failures_delta,1.0742064475975894,58.99999999999818
SBI UPI -10pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.0,611,independent_ml,gmv_at_risk,5385.777555449866,87217.74999999907
SBI UPI -10pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.0,611,independent_ml,p95_latency_delta_ms,0.6575177807499131,36.0
SBI UPI -20pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,0.5400981996726678,611,rule_baseline,success_rate_delta_pp,-0.3906750668446701,-0.37515631513129755
SBI UPI -20pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,0.5400981996726678,611,rule_baseline,timeout_rate_delta_pp,0.2056799362526448,0.240484817391862
SBI UPI -20pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,0.5400981996726678,611,rule_baseline,failures_delta,121.83983309684731,116.99999999999773
SBI UPI -20pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,0.5400981996726678,611,rule_baseline,gmv_at_risk,279965.93949417025,211119.6299999999
SBI UPI -20pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,0.5400981996726678,611,rule_baseline,p95_latency_delta_ms,0.0,74.0
SBI UPI -20pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,0.5400981996726678,611,independent_ml,success_rate_delta_pp,-0.0016790356422990982,-0.37515631513129755
SBI UPI -20pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,0.5400981996726678,611,independent_ml,timeout_rate_delta_pp,0.0024875894246626992,0.240484817391862
SBI UPI -20pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,0.5400981996726678,611,independent_ml,failures_delta,0.5236408457637935,116.99999999999773
SBI UPI -20pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,0.5400981996726678,611,independent_ml,gmv_at_risk,2904.748652932234,211119.6299999999
SBI UPI -20pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,0.5400981996726678,611,independent_ml,p95_latency_delta_ms,1.3767284608065893,74.0
SBI UPI -40pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,1.0,611,rule_baseline,success_rate_delta_pp,-0.7822321430791312,-0.8016160579728648
SBI UPI -40pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,1.0,611,rule_baseline,timeout_rate_delta_pp,0.3967406260513966,0.47776317055183254
SBI UPI -40pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,1.0,611,rule_baseline,failures_delta,243.9547384620887,249.99999999999727
SBI UPI -40pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,1.0,611,rule_baseline,gmv_at_risk,560562.0307768714,553845.0800000001
SBI UPI -40pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,1.0,611,rule_baseline,p95_latency_delta_ms,0.0,136.0
SBI UPI -40pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,1.0,611,independent_ml,success_rate_delta_pp,-0.0016790356422990982,-0.8016160579728648
SBI UPI -40pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,1.0,611,independent_ml,timeout_rate_delta_pp,0.0024875894246626992,0.47776317055183254
SBI UPI -40pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,1.0,611,independent_ml,failures_delta,0.5236408457637935,249.99999999999727
SBI UPI -40pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,1.0,611,independent_ml,gmv_at_risk,2904.748652932234,553845.0800000001
SBI UPI -40pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,1.0,611,independent_ml,p95_latency_delta_ms,1.3767284608065893,136.0
AU Small Finance UPI -5pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.0,115,rule_baseline,success_rate_delta_pp,-0.0180932903395159,-0.02565171385512377
AU Small Finance UPI -5pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.0,115,rule_baseline,timeout_rate_delta_pp,0.008853812123012748,0.0192387853913489
AU Small Finance UPI -5pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.0,115,rule_baseline,failures_delta,5.642754458184982,7.999999999997499
AU Small Finance UPI -5pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.0,115,rule_baseline,gmv_at_risk,13250.439087633975,32014.540000000037
AU Small Finance UPI -5pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.0,115,rule_baseline,p95_latency_delta_ms,0.0,8.0
AU Small Finance UPI -5pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.0,115,independent_ml,success_rate_delta_pp,-9.928198687614298e-05,-0.02565171385512377
AU Small Finance UPI -5pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.0,115,independent_ml,timeout_rate_delta_pp,-3.7086758284017585e-05,0.0192387853913489
AU Small Finance UPI -5pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.0,115,independent_ml,failures_delta,0.0309630732469941,7.999999999997499
AU Small Finance UPI -5pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.0,115,independent_ml,gmv_at_risk,197.23134916089475,32014.540000000037
AU Small Finance UPI -5pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.0,115,independent_ml,p95_latency_delta_ms,0.0,8.0
AU Small Finance UPI -10pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.034782608695652174,115,rule_baseline,success_rate_delta_pp,-0.03652702133054575,-0.03206464231890749
AU Small Finance UPI -10pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.034782608695652174,115,rule_baseline,timeout_rate_delta_pp,0.019806918815059617,0.03527110655080646
AU Small Finance UPI -10pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.034782608695652174,115,rule_baseline,failures_delta,11.39168214235724,9.999999999997726
AU Small Finance UPI -10pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.034782608695652174,115,rule_baseline,gmv_at_risk,26627.122943665832,36016.71999999974
AU Small Finance UPI -10pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.034782608695652174,115,rule_baseline,p95_latency_delta_ms,0.0,13.0
AU Small Finance UPI -10pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.034782608695652174,115,independent_ml,success_rate_delta_pp,-0.0002857333247230365,-0.03206464231890749
AU Small Finance UPI -10pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.034782608695652174,115,independent_ml,timeout_rate_delta_pp,0.00032698903142530655,0.03527110655080646
AU Small Finance UPI -10pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.034782608695652174,115,independent_ml,failures_delta,0.08911165198128401,9.999999999997726
AU Small Finance UPI -10pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.034782608695652174,115,independent_ml,gmv_at_risk,197.05509524419904,36016.71999999974
AU Small Finance UPI -10pp 18:00-20:00,issuer_degradation,2026-01-28,in_range,0.034782608695652174,115,independent_ml,p95_latency_delta_ms,-0.1903816994799854,13.0
AU Small Finance UPI -20pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,0.6956521739130435,115,rule_baseline,success_rate_delta_pp,-0.07339448331261655,-0.05450989194215605
AU Small Finance UPI -20pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,0.6956521739130435,115,rule_baseline,timeout_rate_delta_pp,0.03779643591218969,0.04168403501458931
AU Small Finance UPI -20pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,0.6956521739130435,115,rule_baseline,failures_delta,22.88953751070585,17.000000000000227
AU Small Finance UPI -20pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,0.6956521739130435,115,rule_baseline,gmv_at_risk,53380.49065573141,44315.1799999997
AU Small Finance UPI -20pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,0.6956521739130435,115,rule_baseline,p95_latency_delta_ms,0.0,15.0
AU Small Finance UPI -20pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,0.6956521739130435,115,independent_ml,success_rate_delta_pp,0.00019938633951666063,-0.05450989194215605
AU Small Finance UPI -20pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,0.6956521739130435,115,independent_ml,timeout_rate_delta_pp,0.00045046370209279873,0.04168403501458931
AU Small Finance UPI -20pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,0.6956521739130435,115,independent_ml,failures_delta,-0.06218261770504796,17.000000000000227
AU Small Finance UPI -20pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,0.6956521739130435,115,independent_ml,gmv_at_risk,-1.8585213674232364,44315.1799999997
AU Small Finance UPI -20pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,0.6956521739130435,115,independent_ml,p95_latency_delta_ms,-0.14064368738672783,15.0
AU Small Finance UPI -40pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,1.0,115,rule_baseline,success_rate_delta_pp,-0.14712940727673596,-0.11222624811619841
AU Small Finance UPI -40pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,1.0,115,rule_baseline,timeout_rate_delta_pp,0.07377547010645036,0.07054221310161274
AU Small Finance UPI -40pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,1.0,115,rule_baseline,failures_delta,45.88524824739579,34.99999999999886
AU Small Finance UPI -40pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,1.0,115,rule_baseline,gmv_at_risk,106887.2260798607,76749.79000000004
AU Small Finance UPI -40pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,1.0,115,rule_baseline,p95_latency_delta_ms,0.0,24.0
AU Small Finance UPI -40pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,1.0,115,independent_ml,success_rate_delta_pp,0.00019938633951666063,-0.11222624811619841
AU Small Finance UPI -40pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,1.0,115,independent_ml,timeout_rate_delta_pp,0.00045046370209279873,0.07054221310161274
AU Small Finance UPI -40pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,1.0,115,independent_ml,failures_delta,-0.06218261770504796,34.99999999999886
AU Small Finance UPI -40pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,1.0,115,independent_ml,gmv_at_risk,-1.8585213674232364,76749.79000000004
AU Small Finance UPI -40pp 18:00-20:00,issuer_degradation,2026-01-28,out_of_range,1.0,115,independent_ml,p95_latency_delta_ms,-0.14064368738672783,24.0
HDFC all methods -10pp all day,issuer_degradation,2026-01-28,in_range,0.01879271070615034,5268,rule_baseline,success_rate_delta_pp,-1.6529452984351156,-1.632090294032762
HDFC all methods -10pp all day,issuer_degradation,2026-01-28,in_range,0.01879271070615034,5268,rule_baseline,timeout_rate_delta_pp,0.647230916081207,0.7663449514220668
HDFC all methods -10pp all day,issuer_degradation,2026-01-28,in_range,0.01879271070615034,5268,rule_baseline,failures_delta,515.5040502229594,508.9999999999975
HDFC all methods -10pp all day,issuer_degradation,2026-01-28,in_range,0.01879271070615034,5268,rule_baseline,gmv_at_risk,1609611.2890223023,1594940.1500000004
HDFC all methods -10pp all day,issuer_degradation,2026-01-28,in_range,0.01879271070615034,5268,rule_baseline,p95_latency_delta_ms,0.0,244.0
HDFC all methods -10pp all day,issuer_degradation,2026-01-28,in_range,0.01879271070615034,5268,independent_ml,success_rate_delta_pp,-0.012833292976688337,-1.632090294032762
HDFC all methods -10pp all day,issuer_degradation,2026-01-28,in_range,0.01879271070615034,5268,independent_ml,timeout_rate_delta_pp,-0.00023832861665209343,0.7663449514220668
HDFC all methods -10pp all day,issuer_degradation,2026-01-28,in_range,0.01879271070615034,5268,independent_ml,failures_delta,4.002319080639836,508.9999999999975
HDFC all methods -10pp all day,issuer_degradation,2026-01-28,in_range,0.01879271070615034,5268,independent_ml,gmv_at_risk,40930.85129422229,1594940.1500000004
HDFC all methods -10pp all day,issuer_degradation,2026-01-28,in_range,0.01879271070615034,5268,independent_ml,p95_latency_delta_ms,1.2140529758498815,244.0
HDFC all methods -30pp all day,issuer_degradation,2026-01-28,out_of_range,1.0,5268,rule_baseline,success_rate_delta_pp,-5.029391349815682,-4.806489883605347
HDFC all methods -30pp all day,issuer_degradation,2026-01-28,out_of_range,1.0,5268,rule_baseline,timeout_rate_delta_pp,1.83305427193612,2.0585500368743386
HDFC all methods -30pp all day,issuer_degradation,2026-01-28,out_of_range,1.0,5268,rule_baseline,failures_delta,1568.5162802670166,1498.9999999999995
HDFC all methods -30pp all day,issuer_degradation,2026-01-28,out_of_range,1.0,5268,rule_baseline,gmv_at_risk,4894361.13752307,4396504.489999999
HDFC all methods -30pp all day,issuer_degradation,2026-01-28,out_of_range,1.0,5268,rule_baseline,p95_latency_delta_ms,0.0,816.0
HDFC all methods -30pp all day,issuer_degradation,2026-01-28,out_of_range,1.0,5268,independent_ml,success_rate_delta_pp,-0.0028333532008262274,-4.806489883605347
HDFC all methods -30pp all day,issuer_degradation,2026-01-28,out_of_range,1.0,5268,independent_ml,timeout_rate_delta_pp,-0.001969806934347569,2.0585500368743386
HDFC all methods -30pp all day,issuer_degradation,2026-01-28,out_of_range,1.0,5268,independent_ml,failures_delta,0.8836378627415797,1498.9999999999995
HDFC all methods -30pp all day,issuer_degradation,2026-01-28,out_of_range,1.0,5268,independent_ml,gmv_at_risk,35345.97599413339,4396504.489999999
HDFC all methods -30pp all day,issuer_degradation,2026-01-28,out_of_range,1.0,5268,independent_ml,p95_latency_delta_ms,1.90726835051737,816.0
gateway_a outage 15m at 19:00,gateway_outage,2026-01-28,out_of_range,1.0,268,rule_baseline,success_rate_delta_pp,-0.827931335698362,-0.8304742360598971
gateway_a outage 15m at 19:00,gateway_outage,2026-01-28,out_of_range,1.0,268,rule_baseline,timeout_rate_delta_pp,0.42431524982394603,0.8400936287555714
gateway_a outage 15m at 19:00,gateway_outage,2026-01-28,out_of_range,1.0,268,rule_baseline,failures_delta,258.2069456642482,259.0
gateway_a outage 15m at 19:00,gateway_outage,2026-01-28,out_of_range,1.0,268,rule_baseline,gmv_at_risk,985562.3082516845,976242.8999999994
gateway_a outage 15m at 19:00,gateway_outage,2026-01-28,out_of_range,1.0,268,rule_baseline,p95_latency_delta_ms,0.0,258.0
gateway_a outage 15m at 19:00,gateway_outage,2026-01-28,out_of_range,1.0,268,independent_ml,success_rate_delta_pp,-0.051493939653946,-0.8304742360598971
gateway_a outage 15m at 19:00,gateway_outage,2026-01-28,out_of_range,1.0,268,independent_ml,timeout_rate_delta_pp,0.0653622433267104,0.8400936287555714
gateway_a outage 15m at 19:00,gateway_outage,2026-01-28,out_of_range,1.0,268,independent_ml,failures_delta,16.05941495987622,259.0
gateway_a outage 15m at 19:00,gateway_outage,2026-01-28,out_of_range,1.0,268,independent_ml,gmv_at_risk,38689.456278991885,976242.8999999994
gateway_a outage 15m at 19:00,gateway_outage,2026-01-28,out_of_range,1.0,268,independent_ml,p95_latency_delta_ms,9.07382194951606,258.0
gateway_a outage 60m at 19:00,gateway_outage,2026-01-28,out_of_range,1.0,949,rule_baseline,success_rate_delta_pp,-2.9285509646228336,-2.9178824510212586
gateway_a outage 60m at 19:00,gateway_outage,2026-01-28,out_of_range,1.0,949,rule_baseline,timeout_rate_delta_pp,1.515569892476029,2.965979414499631
gateway_a outage 60m at 19:00,gateway_outage,2026-01-28,out_of_range,1.0,949,rule_baseline,failures_delta,913.3271893369233,910.0
gateway_a outage 60m at 19:00,gateway_outage,2026-01-28,out_of_range,1.0,949,rule_baseline,gmv_at_risk,3201852.124478508,3162910.090000001
gateway_a outage 60m at 19:00,gateway_outage,2026-01-28,out_of_range,1.0,949,rule_baseline,p95_latency_delta_ms,0.0,1453.0
gateway_a outage 60m at 19:00,gateway_outage,2026-01-28,out_of_range,1.0,949,independent_ml,success_rate_delta_pp,-0.19650144534837377,-2.9178824510212586
gateway_a outage 60m at 19:00,gateway_outage,2026-01-28,out_of_range,1.0,949,independent_ml,timeout_rate_delta_pp,0.2428872411597163,2.965979414499631
gateway_a outage 60m at 19:00,gateway_outage,2026-01-28,out_of_range,1.0,949,independent_ml,failures_delta,61.28290576079735,910.0
gateway_a outage 60m at 19:00,gateway_outage,2026-01-28,out_of_range,1.0,949,independent_ml,gmv_at_risk,170074.81066447962,3162910.090000001
gateway_a outage 60m at 19:00,gateway_outage,2026-01-28,out_of_range,1.0,949,independent_ml,p95_latency_delta_ms,29.753702967584104,1453.0
gateway_b outage 15m at 19:00,gateway_outage,2026-01-28,out_of_range,1.0,182,rule_baseline,success_rate_delta_pp,-0.5591769876912234,-0.5579247763491169
gateway_b outage 15m at 19:00,gateway_outage,2026-01-28,out_of_range,1.0,182,rule_baseline,timeout_rate_delta_pp,0.2822107495643265,0.5707506332766856
gateway_b outage 15m at 19:00,gateway_outage,2026-01-28,out_of_range,1.0,182,rule_baseline,failures_delta,174.39052715126195,173.9999999999991
gateway_b outage 15m at 19:00,gateway_outage,2026-01-28,out_of_range,1.0,182,rule_baseline,gmv_at_risk,544778.8106039334,535456.9900000002
gateway_b outage 15m at 19:00,gateway_outage,2026-01-28,out_of_range,1.0,182,rule_baseline,p95_latency_delta_ms,0.0,148.0
gateway_b outage 15m at 19:00,gateway_outage,2026-01-28,out_of_range,1.0,182,independent_ml,success_rate_delta_pp,-0.03783285721330465,-0.5579247763491169
gateway_b outage 15m at 19:00,gateway_outage,2026-01-28,out_of_range,1.0,182,independent_ml,timeout_rate_delta_pp,0.04924191497784492,0.5707506332766856
gateway_b outage 15m at 19:00,gateway_outage,2026-01-28,out_of_range,1.0,182,independent_ml,failures_delta,11.798933179113419,173.9999999999991
gateway_b outage 15m at 19:00,gateway_outage,2026-01-28,out_of_range,1.0,182,independent_ml,gmv_at_risk,26593.65968505293,535456.9900000002
gateway_b outage 15m at 19:00,gateway_outage,2026-01-28,out_of_range,1.0,182,independent_ml,p95_latency_delta_ms,14.598176864555171,148.0
gateway_b outage 60m at 19:00,gateway_outage,2026-01-28,out_of_range,1.0,782,rule_baseline,success_rate_delta_pp,-2.4050893742724844,-2.408054638150503
gateway_b outage 60m at 19:00,gateway_outage,2026-01-28,out_of_range,1.0,782,rule_baseline,timeout_rate_delta_pp,1.2166415757599054,2.4433257447013177
gateway_b outage 60m at 19:00,gateway_outage,2026-01-28,out_of_range,1.0,782,rule_baseline,failures_delta,750.0752231543597,750.9999999999973
gateway_b outage 60m at 19:00,gateway_outage,2026-01-28,out_of_range,1.0,782,rule_baseline,gmv_at_risk,2377885.8816921413,2291414.12
gateway_b outage 60m at 19:00,gateway_outage,2026-01-28,out_of_range,1.0,782,rule_baseline,p95_latency_delta_ms,0.0,996.0
